#e1, V	ic, mA
e1	ic
0	0
0.5	2.88
1	5.39
1.5	6.31
2	6.91
2.5	7.16
3	7.38
3.5	7.51
4	7.62
4.5	7.72
5	7.8
5.5	7.88
6	7.94
6.5	8
7	8.03
7.5	8.07
8	8.1
8.5	8.13
9	8.15
9.5	8.16
