#e2=10Uz, V	ic, mA
e2	ic
0	11.56
0.5	11.06
1	10.67
1.5	10.11
2	9.66
2.5	9.19
3	8.74
3.5	8.25
4	7.79
4.5	7.37
5	6.97
5.5	6.54
6	6.15
6.5	5.71
7	5.37
7.5	4.96
8	4.58
8.5	4.25
9	3.86
9.5	3.54
10	3.22
10.5	2.93
11	2.59
11.5	2.30
12	2.06
12.5	1.80
13	1.55
13.5	1.34
14	1.11
14.5	0.90
15	0.70
15.5	0.58
16	0.44
17	0.21
17.5	0.13
18	0.07
18.5	0.03
19	0.01
20	0
