#e1, V	ic, mA
e1	ic
0	0
0.1	0.08
0.2	0.2
0.3	0.38
0.4	0.48
1.1	0.67
1.5	0.71
1.8	0.74
2.4	0.79
3	0.82
3.7	0.86
4.3	0.89
5.1	0.92
6.1	0.95
6.6	0.97
7.2	0.99
7.8	1.01
8.1	1.02
8.4	1.03
9.2	1.05
9.6	1.06
9.9	1.07
