#e2=10Uc, V	ic, mA
e2	ic
0	13.34
0.5	12.77
1	12.15
1.5	11.63
2	11.02
2.5	10.52
3	9.97
3.5	9.48
4	8.96
4.5	8.50
5	8
5.5	7.59
6	7.13
6.5	6.66
7	6.26
7.5	5.86
8	5.48
8.5	5.07
9	4.69
9.5	4.36
10	3.96
10.5	3.63
11	3.27
12	2.64
12.5	2.34
13	2.05
13.5	1.76
14	1.52
14.5	1.32
15	1.08
15.5	0.87
16	0.69
16.5	0.51
17	0.36
17.5	0.25
18	0.16
18.5	0.08
19	0.04
19.5	0.02
20	0
