#e1, V	ic, mA
e1	ic
0	0
0.5	1.77
1.1	2.79
1.4	2.98
1.8	3.17
2.2	3.28
2.5	3.35
2.8	3.42
3.2	3.48
3.7	3.55
4.2	3.60
4.6	3.65
5	3.70
5.5	3.75
6	3.79
6.3	3.81
6.6	3.84
7.1	3.87
7.8	3.93
8.1	3.94
8.7	3.98
9.1	4.00
9.8	4.05
9.9	4.05
