#e1, V	ic, mA
e1	ic
0	0
0.5	4.34
1	8.02
1.5	10.55
2	11.52
2.5	12.09
3	12.45
3.5	12.72
4	12.89
4.5	12.96
5	13.05
5.5	13.11
6	13.17
6.5	13.21
7	13.22
7.5	13.21
8	13.22
8.5	13.21
9	13.22
9.5	13.21
10	13.20
